order_month,total_orders,active_customers,total_revenue,avg_order_value
2016-09,1,1,0.0,
2016-10,265,262,46566.71,175.72
2016-12,1,1,19.62,19.62
2017-01,750,718,127545.67,170.06
2017-02,1653,1630,271298.65,164.13
2017-03,2546,2508,414369.39,162.75
2017-04,2303,2274,390952.18,169.76
2017-05,3546,3479,567066.73,159.92
2017-06,3135,3076,490225.6,156.37
2017-07,3872,3802,566403.93,146.28
2017-08,4193,4114,646000.61,154.07
2017-09,4150,4083,701169.99,168.96
2017-10,4478,4417,751140.27,167.74
2017-11,7289,7183,1153528.05,158.26
2017-12,5513,5450,843199.17,152.95
2018-01,7069,6974,1078606.86,152.58
2018-02,6555,6400,966510.88,147.45
2018-03,7003,6914,1120678.0,160.03
2018-04,6798,6744,1132933.95,166.66
2018-05,6749,6693,1128836.69,167.26
2018-06,6099,6061,1012090.68,165.94
2018-07,6159,6100,1027903.86,166.89
2018-08,6351,6310,985414.28,155.16
